city,state_name,lat,lng
Birmingham,Alabama,33.5277,-86.7987
Huntsville,Alabama,34.6988,-86.6412
Mobile,Alabama,30.6783,-88.1162
Montgomery,Alabama,32.3473,-86.2666
Tuscaloosa,Alabama,33.2348,-87.5267
Auburn,Alabama,32.6087,-85.4899
Hoover,Alabama,33.3754,-86.8064
Florence,Alabama,34.8303,-87.6654
Anniston,Alabama,33.6712,-85.8136
Dothan,Alabama,31.2335,-85.4069
Daphne,Alabama,30.6286,-87.8866
Decatur,Alabama,34.573,-86.9906
Gadsden,Alabama,34.009,-86.0156
Madison,Alabama,34.7114,-86.7626
Enterprise,Alabama,31.3276,-85.8459
Albertville,Alabama,34.2634,-86.2107
Foley,Alabama,30.3983,-87.6649
Phenix City,Alabama,32.4588,-85.0251
Prattville,Alabama,32.4605,-86.4588
Vestavia Hills,Alabama,33.4518,-86.7438
Alabaster,Alabama,33.2198,-86.8225
Athens,Alabama,34.7847,-86.951
Opelika,Alabama,32.6612,-85.3769
Bessemer,Alabama,33.3709,-86.9713
Northport,Alabama,33.2589,-87.5984
Homewood,Alabama,33.4617,-86.8092
Pelham,Alabama,33.3114,-86.7573
Fairhope,Alabama,30.5217,-87.8815
Trussville,Alabama,33.6404,-86.5819
Prichard,Alabama,30.7735,-88.1301
Oxford,Alabama,33.5967,-85.8687
Mountain Brook,Alabama,33.4871,-86.74
Valley,Alabama,32.8088,-85.1809
Helena,Alabama,33.2845,-86.8756
Cullman,Alabama,34.1777,-86.8407
Selma,Alabama,32.4166,-87.0336
Troy,Alabama,31.8021,-85.9665
Tillmans Corner,Alabama,30.5818,-88.2128
Sylacauga,Alabama,33.1778,-86.2606
Center Point,Alabama,33.6446,-86.6851
Millbrook,Alabama,32.5028,-86.3737
Talladega,Alabama,33.4329,-86.0976
Hueytown,Alabama,33.4237,-87.022
Calera,Alabama,33.1249,-86.745
Saraland,Alabama,30.8478,-88.1004
Muscle Shoals,Alabama,34.7436,-87.6344
Hartselle,Alabama,34.4391,-86.94
Scottsboro,Alabama,34.6438,-86.0491
Alexander City,Alabama,32.9242,-85.9361
Ozark,Alabama,31.4508,-85.6473
Gardendale,Alabama,33.6678,-86.8069
Chelsea,Alabama,33.3255,-86.6299
Fort Payne,Alabama,34.4557,-85.6965
Pell City,Alabama,33.5609,-86.2669
Jasper,Alabama,33.8503,-87.2708
Moody,Alabama,33.5986,-86.4963
Irondale,Alabama,33.544,-86.6599
Gulf Shores,Alabama,30.2759,-87.7013
Jacksonville,Alabama,33.8088,-85.7545
Leeds,Alabama,33.5429,-86.5636
Eufaula,Alabama,31.9102,-85.1505
Saks,Alabama,33.7118,-85.8536
Fairfield,Alabama,33.4747,-86.9194
Pike Road,Alabama,32.2934,-86.0902
Clay,Alabama,33.6976,-86.607
Robertsdale,Alabama,30.5534,-87.7023
Russellville,Alabama,34.5056,-87.7282
Boaz,Alabama,34.1985,-86.1529
Rainbow City,Alabama,33.9337,-86.0922
Pleasant Grove,Alabama,33.4936,-86.9782
Meadowbrook,Alabama,33.3932,-86.7041
Bay Minette,Alabama,30.893,-87.7912
Fultondale,Alabama,33.6177,-86.8015
Spanish Fort,Alabama,30.7257,-87.8601
Atmore,Alabama,31.0927,-87.4763
Forestdale,Alabama,33.5737,-86.9002
Southside,Alabama,33.9007,-86.0238
Sheffield,Alabama,34.757,-87.6977
Clanton,Alabama,32.844,-86.623
Andalusia,Alabama,31.3101,-86.4781
Guntersville,Alabama,34.367,-86.2638
Wetumpka,Alabama,32.5407,-86.2052
Tuscumbia,Alabama,34.7204,-87.7035
Arab,Alabama,34.3309,-86.4991
Tuskegee,Alabama,32.4395,-85.7139
Greenville,Alabama,31.8437,-86.6379
Brook Highland,Alabama,33.4359,-86.6849
Pinson,Alabama,33.7057,-86.6674
Meridianville,Alabama,34.8729,-86.5722
Moores Mill,Alabama,34.8491,-86.5222
Lincoln,Alabama,33.5935,-86.1371
Montevallo,Alabama,33.1246,-86.8476
Brewton,Alabama,31.1111,-87.0737
Demopolis,Alabama,32.498,-87.8298
Hamilton,Alabama,34.1346,-87.9755
Oneonta,Alabama,33.9392,-86.4929
Opp,Alabama,31.2848,-86.257
Theodore,Alabama,30.5408,-88.1884
Orange Beach,Alabama,30.2941,-87.5851
Grayson Valley,Alabama,33.6469,-86.6414
